reference,base_prediction
Hari Raya Aidilfitri ke Adha ke apa-apa, hari raya aidilfitri ke adaha ke apaapa
semua semua orang boleh cuti so macam best lah kita macam ada [UNK] banyak cuti, semua orang boleh cuti so macam best lah kita macam ada banyak cuti
contoh macam Hari Merdeka ke, jun tu macam hari merdeka ke
kita, kita
ataupun, atau
em em, hmm
tu eh cuti-cuti kita boleh pergi balik kampung, kita boleh cuticuti kita boleh pergi balik kampung
kalau macam orang Sarawak pula dia ada cuti Gawai, kalau macam orang sarawak pula dia ada cuti kawaii
Kaamatan, kamu akan
Kaamatan dekat Sabah kalau Gawai dekat Sarawak, kermatan dekat sabah kalau gawai dekat sarawak
kalau macam, kalau macam
Deepavali dia orang biasa kalau macam orang Melayu dia, di pahawali dia orang biasa kalau macam orang melayu dia
kalau dia nak berkumpul dia berkumpul dekat masjid ke kan dia sembahyang kat masjid, kalau dia nak berkumpul dia berkumpul dekat masjid ke kan dia semayang kat masjid
kalau orang Cina pula, kalau orang cina pula
dia, diu
[UNK] Cina ah ah betul, mungkin cina apa ni
orang India pula, orang india pula
dia, dia
pergi sembahyang ataupun dia pergi jumpa ahli keluarga semua dekat Batu Caves, pergi semayang ataupun dia pergi jumpa ahli keluarga semua dekat batu cave
dekat dekat K L tu ataupun ada yang kalau yang duduk dekat, dekat kl tu ataupun ada yang kalau yang duduk dekat
negeri lain ke apa dia orang duk jumpa dekat, negeri lain ke apa diorang jumpa dekat
gereja-gereja ke dekat, kerjakerja ke dekat
kuil ke, kuih ilg
kan, ken
so itu je lah yang aku boleh kongsikan dengan engkau, so itu je lah yang aku boleh kongsikan dengan kau
hm okey, hmm okay
so, so
ah, amin
bye bye Ina, lepas tu nak
okey bye, okay bye
ah ah Wa- Waalaikumsalam ah aku Helmi Zef ada apa call aku, waalaikumsalam aku and me ada apa call aku
pasal sukan ek, pasal sukan eh
ah tak adalah tahu sangat tapi adalah belajar kat sekolah sikit-sikit pasal sukan ni, tak adalah tahu sangat tapi adalah belajar kat sekolah sikitsikit pasal sukan ni
kenapa ya dengan sukan, kenapa dia dengan sukan
apa apa ya nak tanya ya pasal sukan, apa yang nak tanya pasal sukan
sukan sukan ah adalah sukan yang dia dia ada dua ni tau ada dua kategori macam satu aktiviti fizikal um menunjukkan, sukan sukan adalah sukan yang dia ada dua niau ada dua kategori macam satu aktiviti fizikal menunjukkan
pelbagai ah ni ah pelbagai tujuan sebagai contoh pertandingan keseronokkan, berbagai tunjuan sebagai contoh pertandingan keseronokan
pembangunan, perbangunan
kemahiran kecemerlangan dan sebagainya ah, kemahiran kecemerlangan dan sebagainya
tak tak dengar dulu perbezaan ah tujuannya membezakan sifat [UNK] satu sukan itu, tak tak dengar dulu perbezaan tujuan ni adalah membezakan sifat suatu sifat itu
okay apa tu soalannya, okay apa soalannya
oh sukan sukan yang saya minat eh sukan yang saya minat dari kecil lah, oh sukan sukan yang saya minat sukan yang saya minat dari kecil lah
ah adalah bola sepak, adalah bola sepak
sebab, sebab
dulu ah saya gemuklah, dulu saya gemuk lah
ah pastu susahlah nak sukan ni sebab tu sekarang ah saya, lepas tu susahlah nak sukan ni lepas tu sekarang saya
dah, dah
dah ni sikit bolehlah bermula main bola tapi saya memang minat sukanlah tapi tak pro sangatlah main tak macam tak hebat sangat main bola ni tapi ah saya minatlah pasal sukan pasal sukan bola sepak ni sebagai contoh ah aku, dan ni sikit bolehlah main bola tapi saya memang nak sukan lah tapi tak pro sangat lah main tak macam tak hebat sangat main bola ni tapi saya minat lah pasal sukan pasal suka bola sepak ni sebagai contoh aku
aku minat ah Ronaldo ah, aku minat arnold doa
Ronaldo ni macam, ronaldo ni macam
[UNK] kenal tak Ronaldo, tak kenal tak ronaldo
Ronaldo ni macam bagi akulah dia macam satu player satu pemain ni yang dia grow up daripada bawah tau dari dari bawah lepas tu macam, ronaldo ni macam bagi akulah dia macam satu player satu pemain ni yang dia group up daripada bawah tau dari bawah macammacam
contohlah dia, contohlah dia
ah dari kecik dia tak ada apa-apalah macam miskin gila lepas tu ah dari sekolah tulah dia jadi wakil ah apa bola sepak lepas tu sampai ke dewasa tu ada orang tarik dia then ah daripada Manchester City lah dia macam, dari kecil dia tak ada apaapa lah macam miskin gila lepas tu dari sekolah tu lah dia jadi wakil apa bola sepak lepas tu sampai ke dewasa tu ada orang tarik dia then daripada masyarakat city lah dia macam
ah dia macam nama dia naiklah sebab, macam nama dia naik lah sebab
sebab dia menang, sebab dia menang
apa ni macam satu pertandingan yang besarlah kat ah [UNK] ah kat negara luar tu sebab tu aku minat dia, apa ni macam satu pertandingan yang besar kat duit kat negara luar tu sebab tu aku minat dia
ah sebagai contoh Piala Dunia lah bukan Piala Dunia tapi banyak lagilah, sebagai contoh pilihan dunia lah bukan pilihan dunia tapi banyak lagi lah
ah apa pula kau punya minat, apa pula kau punya minat
apa, apa
mencerita kat, menteri dekat
ah ceritalah ah ak- aku nak dengar ni, haa ceritalah aku nak dengar ni
ah, ah
berenang, berenang
ah kenapa dengan berenang, kenapa dia tidak boleh menang
apa benda suara serak-serak tu, kau benda suara tak sedap tu
oh tak ada empat minit [UNK], oh takde lepak manage ni lah
aku tak dengar sumpah doh, hantar ni lah sup puaruh
ah okay okay ah dekatkan sikit dengan internet, haa ok ok haa dekatkan sikit dengan internet
K sambung, kesan bu
bolehlah boleh boleh, pusulilah budibudi
sambung ah, semua
ah ya, ah ye
then, den
jadi jadi, jadijadi
siapa siapa nama dia, siapa siapa nama dia
Joe Flake Cowley, jom fake ku ni
ah, aa
tak, dan
tak berapa nak kenallah sebab ah saya memang tak berminat dalam bidang berenang ni sebab ah, tak berapa nak kenal lah sebab saya memang tak berminat dalam bidang berenang ni sebab
sebab saya memang tak sukalah berenang ni sebab, sebab saya memang tak suka lah berenang ni sebab
dia mele-melecehkan, dia meletihkan
kenapa ah suka berenang, kenapa ahas kebrenang
ah kalau kalau, kalau
kalau awak cakap [UNK], kalau awak cakap itu
oh ya sambung, ok sama
oh begitu, oh begitu
jadinya ikut jejaklah tapi awak ada cakap tadi ah pasal keseronokan apa yang keseronok - seron- keseronokannya yang ah kita dapat bila kita terjebak dalam bidang sukan, jadinya ikut jejak lah tapi awak ada cakap tadi pasal keseronokan apa yang keseronokannya yang kita dapat bila kita terjebak dalam bidang sukan ni
bidang sukan berenang ni dah apa dia punya keseronokan ni, bila suka berenang ni dah apa yang boleh aku seronokkan ni
oh begitu ah [UNK] selain ah apa ni, oh begitu selain apa ni
selain sukan berenang apa lagi ah yang awak minat, selain sukan berenang apa lagi yang awak minat
tentang sukan ni, tentang sukan ni
sukan-sukan lainlah yang awak minat, sukasuka yang lain lah yang awak minat
badminton, bebintin
ah apa keseronokannya dan kebaikannya kalau main badminton ni sebab, apa keseronokannya dan kebaikannya kalau main badminton ni sebab
kawan-kawan saya pun suka main badminton tapi ah saya, kawankawan saya pun suka main badminton tapi saya
ah tak tahulah apa dia punya ah kebaikannya lah kalau main benda alah ni, tak tahulah apa dia punya kebaikannya lah kalau main medan ni
main dalam, mereka dalam
bidang nilah sukan badminton ni, bidang ni lah sukan babynta ni
apa, apa
oh okey, okey
siapa yang, siapa yang
oh Lee Chong Wei Lee Chong Wei bukan dah bersara ke, oh lin chong wei lin chong wei bukan dah besar je ke
ah, eh
tapikan ah kenapa awak sangat minat ah Lee Chong Wei kenapa tak minat pemain lain seperti pemain ah China di [UNK] ah nama dia Lin Dan kenapa awak pilih Malaysia, tapi kan kenapa awak sangat minat lin chow wei kenapa tak minat pemain lain seperti pemain cina namanya lin dan kenapa awak pilih malaysia
segak, jangan lupa like share dan subscribe
padahal ah Lee Chong Wei memang mempunyai banyak, padahal lincah ubi memang mempunyai banyak
kemenangan kan di ah negara luar tapi ada pemain lain juga ah seperti Lin Dan kenapa awak tak minat pemain lain, di negara luar tapi ada pemain lain juga seperti linda kenapa awak tak minat pemain lain
ah, oh
minit yang pertama ni ah macam ah U macam awak suka, jadi ni yang pertama ni macam awak suka
[UNK] ini sebab ah dia pemain negara Malaysia la, sebab dia pemain negara malaysia lah
ha okay, okey
sebab kedua ada tak sebab kedua, sebab kedua ada tak sebab kedua
oh, oh
begitu ah, begitu
itu je ah cerita pasal badminton ada lagi tak ah yang, itu je cerita pasal badminton ada lagi tak yang
awak nak [UNK] nak cakap lagi pasal badminton ni, awak nak cakap lagi pasal baby intern ni
itu je ah, itu dia
cerita pasal sukan cerita pasal sukan ah salah satunya la, cerita pasal sukan eh cerita pasal sukan salah satunya lah
ah main ragbi kot sebab ayah ayah saya telah menjuarai banyak pertandingan ah dan banyak macam sijil, main rugby kot sebab ayah ayah saya telah menjuarai banyak pertandingan lah ada banyak macam sijil
siil-sijil ragbi kat rumah la tapi, sijilsijil rabi kat rumah lah tapi
tak saya tak suka sangat tapi saya ingin mencerita pasal ni la sebab, saya tak suka sangat tapi saya ingin bercerita pasal hal ni lah sebab
ah ayah ayah saya cakap, ayah saya cakap
main ragbi ni best ah sebab, merah bini best sebab
"dia mempunyai kena kena mempunyai ketang ketangkasan kekuatan yang lebih la daripada sukan-sukan lain sebab dia punya dia punya ni apa ni dia punya teknik dia banyak tau macam ""tackle""", dia mempunyai kena kena mempunyai ketakasan kekuatan yang lebih lah daripada sukasuka lain sebab dia punya dia punya ni apa ni teknik dia banyak tau macam take a
ah dan macam-macam lagi la sebab memang banyaklah kena merempuh lagi ah dia kena menggunakan kekuatan yang kuat la kalau tak kuat ah tak payah masuklah sebab, dan macammacam lagi lah sebab memang banyak lah kena berempuh lagi dia kena gunakan kekuatan yang kuat lah kalau tak kuat tak payah masuk lah sebab
takut ah, takut
ah takut ni la apa-apa cederakan, takut ni lah apaapa cedera kan
ah ah sebab memang dia kena kuat la kalau tak kuat memang, sebab memang dia kena kuat lah kalau tak kuat memang
ah esok memang set ah tak payah main ah, esok biar mana tak tak payah main lah
memanglah hebat tak ni cerita pasukan ni kan ah ada satu, hebat lah hebat tak ni cerita pasukan ni kan ada satu
kebaikan tau, kebaikan awak
macam contohlah kalau sukan ni, macam contohlah kalau sukan ni
dia bukan saja ah macam, dia bukan sahaja macam
ah mengasah bakat kita lah macam main bola kita main kita asah bakat kita kan, asal bakat kita lah macam main bola kita main kita asal bakat kita kan
tapi dia juga um, tapi dia juga
dia macam sihatkan untuk tubuh badan ah macam, dia macam sihatkan tubuh badan lah macam
kalau kita contoh kalau bola sepak kan dia dia me- larikan lari tu macam, kalau kita contoh kalau bola sepak kan dia lari kan lari tu macam
ah jogging kan jogging tu kan macam, jogging tu kan macam
ah dia membakar kalori kan jadinya, dia membakar kelerian jadinya
ah sihatla tubuh badan kalau kita bersukan ni, sihatlah tubuh badan kalau kita bersukan ni
ah ya ya, ah ye ye
ya, ya
ah betullah tu, terima kasih kerana menonton
ah Adam, ada
ah ya kenapa, haa ye kenapa ye
maybe dia ah, mungkin
mungkin sebab ah dorang ah menganggapkan sukan ni macam tak tak membawa keuntungan la macam fikir macam ah buat saja-saja lah tapi kalau ah diasahkan betul-betul ah, mungkin sebab haa mereka haa menganggap kasukan ni macam tak tak membawa keuntungan lah macam fikir macam haa buat saja lah tapi kalau kalau dia asalkan betulbetul haa
dia akan boleh jadi macam, dia akan boleh jadi macam
menyumbang lah macam, menyumbanglah macam
menyumbang kepada negara lepas tu bukan menyumbang pada negara je dia macam menyumbang pada diri sendiri lah macam kita sukan kita ah kita power kita hebatlah kita akan ah dipilih oh oleh macam, menyumbang kepada negara lepas tu bukan menyumbang kepada negara je dia macam menyumbang kepada dia sendiri lah macam kita suka kita power kita hebat lah kita akan dipilih oleh macam
guru-guru ke apa-apa ke nanti ah, guruguru ke apaapa ke nanti haa
dipilih dan, dipilih then
kita main dalam sukan tu kita akan dapat gaji tau gaji dia bukan sikit-sikit gaji dia lebih daripada, kita main dalam sukan tu kita akan dapat gaji tau gaji dia bukan sikitsikit gaji dia lebih daripada
ah pekerja-pekerja pekerja-pekerja yang biasa eh yang kat luar sana, pekerjapekerja yang biasa kat luar sana
tulah sebab ah, itulah sebab
ah ada apa-apa lagi ah nak bincang [UNK] sukan, ada apaapa lagi nak bincangkan pasal tu ke
ah awak pun sama ah terima kasih juga ah ceritakan tentang ah yang sukan yang awak minat apa benda semua, awak bersama terima kasih juga ceritakan tentang yang suka dengan awak minat apa benda semua
thank you ah terima kasih ah, thank you terima kasih
assalamualaikum, assalamualaikum
Bai hai Bai, bye
apa ni dengar cerita lepas habis S P M tak tahu nak buat apa apa Bai tadi kau cerita kat sekolah, apa ni dengar cerita lepas bspm tak tahu nak buat apaapa kan tadi dia cerita kat sekolah
oh kau nak buat apa, kena buat apa
oh betul juga pendapat engkau sebab tak adalah buang masa kan, wah betul juga pendapat kau sebab takde lah buang masa kan
oh kit, ok
oh kira dapat belajar pun, ok dia dapat belajar apa
belajar berdikarilah gitu, belajar berdikari lagi tu kan
erm, hmm
kau nak kerja apa, kau nak kerja apa
oh kau [UNK], open up
oh kau nak buat kerja part-time cutilah bukan nak kerja teruslah, kau nak buat kerja part time city lah bukan nak kerja terus lah
kira kau nak sambung belajar lagi ke, kira kau nak sambung belajar lagi ke
em, hmm
em, hmm
eh [UNK], eh ni
tak nak mana ada, tak nak manada
aku [UNK] nak cari duit nak ni lah lepas habis S P M aku nak cari kerja juga, kerja aku nak cari duit nak nila lepas base pmi aku nak cari kerja juga
aku nak kerja kat Batu Pahat situlah kerja part-time situ, aku nak kerja kat satu pahat ceritulah kerja parttime je tu
tak tahulah ikutlah kerja apa apa, tak ikutlah kerja bapa
em, hmm
tak tak ada tak ada tak ada kaitan, tak takde takde takde kaitan
[UNK] cari kerja yang faedahlah, orang cik kerja yang faidahlah
entahlah, tentu
tak pasti, tak pasti
tapikan Bai, tapi gambar ini
em, hmm
tak ada apa apalah, terima pula
tak ada apa apa aku tak jadi, terima kasih kerana menonton
eh, eh
lawatan, terima kasih kerana menonton
aish, nice
oh kedai makan kedai makan, oh kedai makan kedai makan
cleaner, klinik
erm, hmm
boleh [UNK] oh kira bila phone kau rosak tak payah beli baru, boleh ba oh kira bilion phone kau rosak tak ya beli baru
erm [UNK] lah, hmm dalam
simpan duit banyak kn, simpan duit banyak kan
erm, hmm
aku nak kerja macam, aku nak pergi macam
tak kisahlah kerja apa tapi yang relax je dapat gaji besarkan ah macam gitulah, tak kisah lagi japa tapi relax je dapat gaji besar kan haa macam itulah
ha ah lah betul juga cakap kau, tidak tidak tidak ada yang boleh dihubungi
eh ah [UNK] tapi tu untuk orang yang belajar tinggi aku ni, eh ah walaupun ada itu tapi itu untuk orang yang belajar tinggi aku ni
result S P M tak dapat lagi, reject spm tak dapat lagi
boleh je tapi kan aku cari ni ah target aku macam sebulan tu aku nak atas seribu lah kalau boleh, boleh tapi aku cari ni lah target aku macam sebulan tu aku nak atas ribu lah kalau boleh
erm, hmm
kau yang jadi [UNK], kau ingin jadi fit
kau nak biar lagi besar ah biar ada cawangan kek batik ah, kau nak biar lagi besar lah biar dia cahungan kikmatik lah
erm em, hmm
[UNK] tangan, di tengah ni
erm, hmm
erm, hmm
wah, ya
mulia betul [UNK], mulia utuh atingkan way
Bai habis lepas habis S P M eh lepas [UNK] dapat result S P M kau nak terus, baik lepas lezat spm kena terus
sambung belajar lah, semblanjalah
tapi kau tak nak ni, tapi katanya ni
sambung belajar sambil kerja, selamat belajar selamat pergi kerja
ah, ha
hm, hmm
dah aku pun niat [UNK] nak kerja situ sebab dapat cari duit kan, aku ni niat ni cerita juga nak kerja cerita sebab dapat cari duit kan
dapat duit lebih, dapat dihubungi
hm hm, hmm
ya lah betul lah kira kita kahwin tak susah-susah cari duit lagi, ya betul lah gilagila gini tak ada yang boleh dikawal
sebab dah ada duit simpanan kan lebih, sebab dia ada duit simpanan dan duit bank
tapi kalau lepas dapat result lepas kau keluar U habis semua kan, tapi kalau lepas dapat digital lepas kau keluar je habis semua ni
kau nak apa ni kena buat kerja apa, kau nak apa ni kau nak buat kerja apa
